orderID,productID,quantityOrdered,customerID,order_Date,order_Time,timeID
177831,66,1,17,01/04/2019,3:09 am,1
177687,46,1,50,01/04/2019,4:12 am,2
186754,12,1,94,01/04/2019,5:06 am,3
185103,47,1,80,01/04/2019,5:18 am,4
191585,38,1,20,01/04/2019,5:58 am,5
189813,81,1,85,01/04/2019,6:02 am,6
186650,2,1,55,01/04/2019,6:11 am,7
178407,17,1,45,01/04/2019,6:14 am,8
184067,95,1,67,01/04/2019,6:18 am,9
192285,86,1,23,01/04/2019,6:23 am,10
193992,75,1,27,01/04/2019,6:27 am,11
181561,80,1,82,01/04/2019,6:42 am,12
182960,45,1,4,01/04/2019,6:47 am,13
189270,4,1,12,01/04/2019,6:59 am,14
189001,34,1,2,01/04/2019,7:01 am,15
186297,85,1,48,01/04/2019,7:01 am,16
181552,66,1,69,01/04/2019,7:06 am,17
186576,52,1,67,01/04/2019,7:08 am,18
191788,15,1,37,01/04/2019,7:17 am,19
182666,19,1,76,01/04/2019,7:17 am,20
193621,4,1,64,01/04/2019,7:21 am,21
189256,76,1,75,01/04/2019,7:27 am,22
176831,53,1,53,01/04/2019,7:39 am,23
189152,6,1,66,01/04/2019,7:40 am,24
181016,100,1,71,01/04/2019,7:42 am,25
176603,27,1,34,01/04/2019,7:46 am,26
180520,30,1,54,01/04/2019,7:46 am,27
193823,22,1,82,01/04/2019,7:49 am,28
187999,88,1,59,01/04/2019,7:51 am,29
183822,59,1,100,01/04/2019,7:54 am,30
178720,25,2,36,01/04/2019,7:55 am,31
184775,78,1,76,01/04/2019,7:57 am,32
177219,19,1,65,01/04/2019,7:59 am,33
177553,32,1,78,01/04/2019,8:00 am,34
180221,80,1,32,01/04/2019,8:00 am,35
184548,13,1,54,01/04/2019,8:02 am,36
179069,66,1,4,01/04/2019,8:06 am,37
193851,83,1,55,01/04/2019,8:09 am,38
180003,70,1,31,01/04/2019,8:15 am,39
188535,27,1,36,01/04/2019,8:18 am,40
183517,11,1,61,01/04/2019,8:23 am,41
248151,6,1,87,01/04/2019,8:24 am,42
248152,15,1,35,01/04/2019,8:24 am,43
192696,7,1,31,01/04/2019,8:32 am,44
180711,29,1,32,01/04/2019,8:37 am,45
191947,73,1,61,01/04/2019,8:38 am,46
187228,69,1,74,01/04/2019,8:38 am,47
177130,98,1,52,01/04/2019,8:43 am,48
191334,44,1,60,01/04/2019,8:46 am,49
181218,89,1,95,01/04/2019,8:51 am,50
